Distance_(mm),Gray_Value
26.0341,245.983
26.0517,244.941
26.0692,239.572
26.0867,233.954
26.1042,229.383
26.1217,223.998
26.1393,217.351
26.1568,211.882
26.1743,206.420
26.1918,200.750
26.2093,194.689
26.2269,188.136
26.2444,180.878
26.2619,173.542
26.2794,165.373
26.2969,158.469
26.3145,155.023
26.3320,151.929
26.3495,149.370
26.3670,147.035
26.3845,144.105
26.4021,140.629
26.4196,139.453
26.4371,140.353
26.4546,141.487
26.4721,141.701
26.4897,142.458
26.5072,145.229
26.5247,148.278
26.5422,151.225
26.5597,155.139
26.5772,161.532
26.5948,167.304
26.6123,171.809
26.6298,173.888
26.6473,176.184
26.6648,180.245
26.6824,183.297
26.6999,186.375
26.7174,189.086
26.7349,192.095
26.7524,195.671
26.7700,199.984
26.7875,203.453
26.8050,205.309
26.8225,207.366
26.8400,209.767
26.8576,213.066
26.8751,217.816
26.8926,219.189
26.9101,221.059
26.9276,223.893
26.9452,226.144
26.9627,226.277
26.9802,226.824
26.9977,229.238
27.0152,230.986
